"Loui's Pizza","Sandwiches",4.5
"On the Rise Bakery","Bakeries",5
"Mexican Village Restaurant","Mexican",3
"Mexican Village Restaurant","Venues & Event Spaces",3
"Mexican Village Restaurant","Bars",3
"Fowling Warehouse - Hamtramck","Sports Bars",4
"Fowling Warehouse - Hamtramck","Arts & Entertainment",4
"Fowling Warehouse - Hamtramck","Venues & Event Spaces",4
"Srodek's Campau Quality Sausage","Polish",4.5
"Orchid Thai Restaurant","Thai",3.5
"Nancy Whiskey","Pubs",4
"Nancy Whiskey","Irish",4
"La Salsa Mexican Cuisine","Breakfast & Brunch",4.5
"Zo's Good Burger","Burgers",4
"La Salsa Mexican Cuisine","Mexican",4.5
"Dan & Vi's Pizza","Pizza",4.5
"Karl's","American (Traditional)",4
"Karl's","Bars",4
"Karl's","Venues & Event Spaces",4
"Spago Trattoria E Pizzeria","Italian",4.5
"Holy Moly Donut Shop","Donuts",4
"Spago Trattoria E Pizzeria","Pizza",4.5
"Lucky Detroit Coffee & Espresso","Coffee & Tea",5
"Holy Moly Donut Shop","Desserts",4
"Savant","French",4
"Savant","Cocktail Bars",4
"Theatre Bizarre","Local Flavor",4.5
"Nemo's Bar","Sports Bars",3.5
"Savant","Lounges",4
"Nemo's Bar","American (Traditional)",3.5
"Mike's Pizza Bar","Pizza",4
"UFO Factory","Music Venues",4
"Mike's Pizza Bar","Sports Bars",4
"UFO Factory","Bars",4
"UFO Factory","American (Traditional)",4
"Belle Isle Aquarium","Aquariums",4
"Mario's Restaurant","Italian",3
"They Say Restaurant","American (New)",3.5
"They Say Restaurant","Chicken Wings",3.5
"Bucharest Grill","Mediterranean",4
"Sgt. Pepperoni's","Pizza",3.5
"Detroit Masala","Indian",4
"Bucharest Grill","Middle Eastern",4
"They Say Restaurant","Bars",3.5
"Cedarland Restaurant","Middle Eastern",4
"Roman Village Cucina Italiana","Italian",4
"Roman Village Cucina Italiana","Pizza",4
"Cadillac Square Diner","Breakfast & Brunch",4
"Roman Village Cucina Italiana","Wine Bars",4
"Cadillac Square Diner","Diners",4
"Floods Bar & Grille","American (Traditional)",3.5
"Floods Bar & Grille","Soul Food",3.5
"Yemen Cafe","Halal",4
"Huddle Soft Serve","Ice Cream & Frozen Yogurt",4.5
"Floods Bar & Grille","Bars",3.5
"POP + Offworld","Pizza",4
"POP + Offworld","Bars",4
"POP + Offworld","Arcades",4
"Eat-N-Out Pizza & Gelato","Pizza",4
